Organizations-Enhanced 	Record Count	% of 1051
UPPSALA UNIVERSITY	2	0.190
URBAN INST	2	0.190
UTMD ANDERSON CANCER CENTER	2	0.190
VA CONNECTICUT HEALTHCARE SYSTEM	2	0.190
VA GREATER LOS ANGELES HEALTHCARE SYSTEM	2	0.190
VA PITTSBURGH HEALTHCARE SYSTEM	2	0.190
VA SAN DIEGO HEALTHCARE SYSTEM	2	0.190
VITA SALUTE SAN RAFFAELE UNIVERSITY	2	0.190
WESTERN DIST HLTH SERV	2	0.190
WESTERN PSYCHIATRIC INSTITUTE CLINIC OF UPMC	2	0.190
WROCLAW MEDICAL UNIVERSITY	2	0.190
XI AN JIAOTONG UNIVERSITY	2	0.190
6 ST JAMES HALL CHAMBERS	1	0.095
A MENARINI DIAGNOST	1	0.095
AAG	1	0.095
ACAD REHABIL CTR BEATRIXOORD	1	0.095
ACAD RES STAT CONSULTING	1	0.095
ADVOCATE HLTH CARE	1	0.095
AFYON KOCATEPE UNIVERSITY	1	0.095
AGA KHAN UNIVERSITY	1	0.095
AGENCY FOR HEALTHCARE RESEARCH QUALITY	1	0.095
AGENCY FOR SCIENCE TECHNOLOGY RESEARCH ASTAR	1	0.095
AIN SHAMS UNIVERSITY	1	0.095
AINTREE UNIV TEACHING HOSP	1	0.095
AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST	1	0.095
AJOU UNIVERSITY	1	0.095
AL AZHAR UNIVERSITY	1	0.095
ALBERTA HEALTH SERVICES AHS	1	0.095
ALCOHOL RES GRP	1	0.095
ALEXANDER TECHNOL EDUC INST	1	0.095
ALEXANDER TECHNOL EDUC INST THESSALONIKI	1	0.095
ALL INDIA INSTITUTE OF MEDICAL SCIENCES	1	0.095
ALL INDIAN INST MED RES	1	0.095
ALTNAGELVIN HOSP	1	0.095
ALTRECHT INST MENTAL HLTH CARE	1	0.095
AMERICAN CANCER SOCIETY	1	0.095
AMSTERDAM PUBL HLTH SERV GGD	1	0.095
AMSTERDAM UNIV APPL SCI	1	0.095
ANDRZEJ FRYCZMODRZEWSKI KRAKOW UNIV	1	0.095
ANGELO STATE UNIVERSITY	1	0.095
ANN ARBOR DEPT VET AFFAIRS CTR CLIN MANAGEMENT RE	1	0.095
ANN ARBOR VA CTR CLIN MANAGEMENT RES	1	0.095
ANTHEM INC	1	0.095
APPL HLTH PSYCHOL RES	1	0.095
ARISTOTLE UNIVERSITY OF THESSALONIKI	1	0.095
ARIZONA STATE UNIVERSITY	1	0.095
ASAHIKAWA MEDICAL COLLEGE	1	0.095
ASCENS ST JOHN HOSP	1	0.095
ASIAN CTR HLTH EDUC	1	0.095
ASL SALERNO	1	0.095
ASSOC HAWAIIAN CIV CLUBS	1	0.095
ASST PAPA GIOVANNI XXIII	1	0.095
ASTON UNIVERSITY	1	0.095
ATHABASCA UNIVERSITY	1	0.095
ATHENS UNIVERSITY OF ECONOMICS BUSINESS	1	0.095
ATTACHED TAKAMATSU MUNICIPAL HOSP	1	0.095
AUDIE L MURPHY MEMORIAL VETERANS HOSPITAL	1	0.095
AUGUSTA UNIVERSITY	1	0.095
AUSTRALIAN PROSTATE CANC RES CTR QUEENSLAND	1	0.095
AUTONOMOUS UNIVERSITY OF MADRID	1	0.095
AZIENDA OSPEDALIERA UNIVERSITARIA INTEGRATA VERONA	1	0.095
AZUMINO RED CROSS HOSP	1	0.095
BAQAI MEDICAL UNIVERSITY	1	0.095
BAR ILAN UNIVERSITY	1	0.095
BARBARA ANN KARMANOS CANCER INSTITUTE	1	0.095
BARBARA DAVIS CTR DIABET	1	0.095
BARWON HLTH	1	0.095
BAURUS DIABET ASSOC	1	0.095
BAY STATE MED CTR	1	0.095
BAYLOR ENDOCRINE CTR	1	0.095
BAYLOR UNIVERSITY	1	0.095
BAYSTATE HLTH SYST	1	0.095
BC CHILDRENS HOSPITAL	1	0.095
BC WOMEN S HOSPITAL HEALTH CENTRE	1	0.095
BEAUMONT HOSP	1	0.095
BEIJING JINGMEI GRP GEN HOSP	1	0.095
BELLARMINE UNIV	1	0.095
BIOSTAT INT	1	0.095
BIRKBECK UNIVERSITY LONDON	1	0.095
BIRMINGHAM VET ADM MED CTR	1	0.095
BODYMATTERS AUSTRALASIA	1	0.095
BOEHRINGER INGELHEIM	1	0.095
BOND UNIVERSITY	1	0.095
BOURNEMOUTH UNIVERSITY	1	0.095
BOWLING GREEN STATE UNIVERSITY	1	0.095
BRACCO	1	0.095
BREAST CTR SENOSUISSE	1	0.095
BREAST CTR ST GALLEN	1	0.095
BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST	1	0.095
BRINGING SCI HOME	1	0.095
BRISTOL ROYAL INFIRMARY	1	0.095
BROWN CONSULTING GRP	1	0.095
BRUNEL UNIVERSITY	1	0.095
BUSAN WOMENS COLL	1	0.095
BUTABIKA NATL REFERRAL MENTAL HLTH HOSP	1	0.095
BUTLER HOSP	1	0.095
BUTLER UNIV	1	0.095
CANADIAN PARTNERSHIP STROKE RECOVERY	1	0.095
CANCER COUNCIL VICTORIA	1	0.095
CANCER RESEARCH CENTER OF HAWAII	1	0.095
CANTONAL HOSP WINTERTHUR	1	0.095
CAPITAL DIST HLTH AUTHOR	1	0.095
CARDIFF UNIVERSITY	1	0.095
CARITAS BIANCHI COLL CAREERS	1	0.095
CARL GUSTAV CARUS UNIVERSITY HOSPITAL	1	0.095
CARLETON UNIVERSITY	1	0.095
CARONDELET HLTH NETWORK	1	0.095
CARRINGTON HLTH	1	0.095
CASE WESTERN RESERVE UNIVERSITY HOSPITAL	1	0.095
CATALAN HEALTH INSTITUTE	1	0.095
CEDARVILLE UNIVERSITY	1	0.095
CENEXA UNLP CONICET LA PLATA	1	0.095
CENT MANCHESTER HOSP FDN TRUST	1	0.095
CENT RES INST	1	0.095
CENTRE FOR ADDICTION MENTAL HEALTH CANADA	1	0.095
CERITD	1	0.095
CGPARKIN COMMUN INC	1	0.095
CHAIM SHEBA MEDICAL CENTER	1	0.095
CHARLES STURT UNIVERSITY	1	0.095
CHATHAM UNIV	1	0.095
CHI MEI HOSPITAL	1	0.095
CHIA NAN UNIVERSITY OF PHARMACY SCIENCE	1	0.095
CHILDREN S HOSPITAL OF WISCONSIN	1	0.095
CHILDREN S MERCY HOSPITAL	1	0.095
CHILDRENS MEM MED CTR	1	0.095
CHINA MEDICAL UNIVERSITY TAIWAN	1	0.095
CHINESE ACADEMY OF MEDICAL SCIENCES PEKING UNION MEDICAL COLLEGE	1	0.095
CHONBUK NATIONAL UNIVERSITY	1	0.095
CHRISTIAN HOSP QUAKENBRUECK	1	0.095
CHRISTIAN MEDICAL COLLEGE HOSPITAL CMCH VELLORE	1	0.095
CHRISTIANA CARE HEALTH SYSTEM	1	0.095
CHU DE NANCY	1	0.095
CHU DE NANTES	1	0.095
CHU DE TOULOUSE	1	0.095
CHU GRENOBLE ALPES	1	0.095
CHUNG SHAN MEDICAL UNIVERSITY	1	0.095
CHUNG SHAN MEDICAL UNIVERSITY HOSPITAL	1	0.095
CHUNGNAM NATIONAL UNIVERSITY	1	0.095
CHUO UNIVERSITY	1	0.095
CIBERESP	1	0.095
CITY COLLEGE OF NEW YORK CUNY	1	0.095
CLEMSON UNIVERSITY	1	0.095
CLIFTON MED CTR	1	0.095
CLIN DIRECTORS NETWORK CDN INC	1	0.095
CLIN HOSP PEDIAT	1	0.095
CLIN SCI FHI	1	0.095
CLINICAL CENTRE OF SERBIA	1	0.095
CLOSE CONCERNS	1	0.095
CLOSE CONCERNS DIATRIBE FDN	1	0.095
COLBY COLLEGE	1	0.095
COLLEGIUM MEDICUM JAGIELLONIAN UNIVERSITY	1	0.095
COLLI ULSS16	1	0.095
COMMONWEALTH SCIENTIFIC INDUSTRIAL RESEARCH ORGANISATION CSIRO	1	0.095
COMMUNITY HLTH SOCIAL SERV CHASS	1	0.095
COMMUNITY HLTH SOCIAL SERV CTR	1	0.095
COMPETENCE CLUSTER NUTR CARDIOVASC HLTH NUTRICA	1	0.095
COMPLEJO HOSPITALARIO DE TOLEDO	1	0.095
COMPLEXO HOSPITALARIO UNIVERSITARIO DE VIGO	1	0.095
COMPLUTENSE UNIVERSITY OF MADRID	1	0.095
CONNOLLY HOSP	1	0.095
CONRAD	1	0.095
CORE CTR OUTCOMES RES CLIN EPIDEMIOL	1	0.095
CORESEARCH	1	0.095
CSIC INSTITUTO DE INVESTIGACIONES BIOMEDICAS ALBERTO SOLS IIBM	1	0.095
CSIC JA USE INSTITUTO DE BIOMEDICINA DE SEVILLA IBIS	1	0.095
CSM GUASTALLA	1	0.095
CSOLNOKY F CTY HOSP	1	0.095
CTR CHRON DIS CONTROL	1	0.095
CTR DIABET	1	0.095
CTR EDUC TERAPEUT BERNARDO A HOUSSAY	1	0.095
CTR ENDOCRINE METAB DIS	1	0.095
CTR INVEST MATEMAT CIMAT	1	0.095
CTR MED OCCIDENTE IMSS	1	0.095
CTR PEDIAT ADOLESCENT DIABET CARE RES	1	0.095
CTR PRACTICE MANAGEMENT OUTCOMES RES	1	0.095
DALARNA UNIVERSITY	1	0.095
DANKOOK UNIVERSITY	1	0.095
DARTMOUTH COLLEGE	1	0.095
DAVID GEFFEN SCHOOL OF MEDICINE AT UCLA	1	0.095
DEESIDE COMMUNITY HOSP	1	0.095
DELTAQUEST FDN	1	0.095
DEPT AMSTERDAM PUBL HLTH RES INST	1	0.095
DEPT COMMUNITY MED PUBL HLTH	1	0.095
DEPT DIABETOL ASS2 ISONTINA	1	0.095
DEPT MED PSYCHOL	1	0.095
DEPT PSYCHIAT	1	0.095
DIABET ATTITUDES WISHES NEEDS PROGRAM	1	0.095
DIABET CANADA	1	0.095
DIABET CTR	1	0.095
DIABET EDUC SUPPORT CONSULTING SERV	1	0.095
DIABET KLIN	1	0.095
DIABET MANAGEMENT CTR	1	0.095
DIABET OUTPATIENTS CLIN	1	0.095
DIABET OUTPATIENTS CLIN OCHOTA	1	0.095
DIABET PROGRAM	1	0.095
DIABET RES EDUC MANAGEMENT TRUST	1	0.095
DIABET RES INST	1	0.095
DIABETER	1	0.095
DIABETES ENDOCRINE CENTER	1	0.095
DIV ENDOCRINOL METAB	1	0.095
DIV GEN PEDIAT ADOLESCENT HLTH	1	0.095
DOKUZ EYLUL UNIVERSITY	1	0.095
DONALDINA CAMERON HOUSE	1	0.095
DRBRAM TEACHING HOSP	1	0.095
DRESDEN UNIVERSITY OF TECHNOLOGY	1	0.095
DREXEL UNIVERSITY	1	0.095
DUBAI PHARM COLL	1	0.095
DUBLIN CITY UNIVERSITY	1	0.095
DUBLIN PSYCHOPROSTHET GRP	1	0.095
DUKE NUS MED SCH	1	0.095
DUTCH COLL GEN PRACTITIONERS	1	0.095
EAST TENNESSEE STATE UNIVERSITY	1	0.095
EASTERN MEDITERRANEAN PUBL HLTH NETWORK	1	0.095
EASTERN MICHIGAN UNIVERSITY	1	0.095
EASTERN SOUTHERN NORWAY	1	0.095
EASTERN VIRGINIA MEDICAL SCHOOL	1	0.095
ECOLE NORMALE SUPERIEURE DE LYON ENS LYON	1	0.095
EDWARD CANC CTR	1	0.095
EDWARD HOSP HLTH CTR	1	0.095
EINDHOVEN CANC REGISTRY	1	0.095
ELI LILLY SUZHOU PHARMACEUT CO	1	0.095
ELISABETH HOSP	1	0.095
ELMHURST HOSP	1	0.095
ELMHURST HOSP CTR	1	0.095
ELMHURST HOSP NEW YORK	1	0.095
EMGO RES INST	1	0.095
ENDEAVOUR COLL NAT HLTH	1	0.095
ENDOKRINOLOGIKUM	1	0.095
ERASMUS MC CANCER INSTITUTE	1	0.095
ERNST MORITZ ARNDT UNIVERSITAT GREIFSWALD	1	0.095
ESTENDA SOLUT INC	1	0.095
EVANGELISMOS HOSPITAL	1	0.095
EVIDAT HLTH	1	0.095
EWHA WOMANS UNIVERSITY	1	0.095
FAC CIENCIAS SALUD	1	0.095
FAC MED PHARM FEZ	1	0.095
FAIRFIELD UNIVERSITY	1	0.095
FAMILY PRACTICE BERGHEM	1	0.095
FDN UMBERTO DI MARIO ONLUS	1	0.095
FED MED RES CTR PSYCHIAT NARCOL	1	0.095
FEDERANZIANI	1	0.095
FEEDING AMER	1	0.095
FIDAM	1	0.095
FIDAM GMBH	1	0.095
FINNISH FDN ALCOHOL STUDIES	1	0.095
FLANDERS INSTITUTE FOR BIOTECHNOLOGY	1	0.095
FMUWI	1	0.095
FORSCHUNGSINST DIABET AKAD	1	0.095
FRED HUTCHINSON CANCER CENTER	1	0.095
FUDAN UNIVERSITY	1	0.095
FUTATA TETSUHIRO CLIN	1	0.095
GATEWAY HLTH PLAN	1	0.095
GENERAL UNIVERSITY HOSPITAL OF ALICANTE	1	0.095
GEORGIA STATE UNIVERSITY	1	0.095
GERIATRIC RESEARCH EDUCATION CLINICAL CENTER	1	0.095
GERMAN CTR DIABET RES DZD EV	1	0.095
GERMAN DIABET CTR MERGENTHEIM	1	0.095
GGZ GEEST	1	0.095
GIRONA UNIVERSITY HOSPITAL DR JOSEP TRUETA	1	0.095
GLOSTRUP HERLEV UNIV HOSP	1	0.095
GOA MED COLL	1	0.095
GORDON COLL EDUC	1	0.095
GOVT MED COLL	1	0.095
GREATER LAWRENCE FAMILY HLTH CTR	1	0.095
GUASTALLA CIVIL HOSP	1	0.095
GVM CARE RES	1	0.095
GYEONGJU UNIV	1	0.095
GYEONGSANG NATIONAL UNIVERSITY	1	0.095
HACETTEPE UNIVERSITY	1	0.095
HAGA DIABET CLIN	1	0.095
HAGA HOSPITAL	1	0.095
HAHP RES	1	0.095
HALLYM UNIVERSITY	1	0.095
HAMPTON UNIVERSITY	1	0.095
HANDONG GLOBAL UNIV	1	0.095
HANH PHUC WOMEN CHILDREN HOSP PROJECT	1	0.095
HANNOVER MEDICAL SCHOOL	1	0.095
HASSELT UNIVERSITY	1	0.095
HEALTH RESEARCH BOARD IRELAND	1	0.095
HEALTHMEDIA INC	1	0.095
HEALTHPARTNERS INSTITUTE FOR EDUCATION RESEARCH	1	0.095
HEARSAY CHARITABLE TRUST	1	0.095
HEART BIRMINGHAM TPCT	1	0.095
HEILONGJIANG UNIVERSITY OF CHINESE MEDICINE	1	0.095
HELLENIC OPEN UNIVERSITY	1	0.095
HELMHOLTZ ASSOCIATION	1	0.095
HELMHOLTZ CENTER MUNICH GERMAN RESEARCH CENTER FOR ENVIRONMENTAL HEALTH	1	0.095
HERITAGE UNIV	1	0.095
HLTH ANALYT LLC	1	0.095
HLTH CLIN NILAI	1	0.095
HLTH CLIN PORT DICKSON	1	0.095
HLTH CLIN SEREMBAN	1	0.095
HLTH CTR SOUTH	1	0.095
HLTH FINDERS COLLABORAT	1	0.095
HLTH MED CTR STYLIDA	1	0.095
HLTH PARTNERS INST	1	0.095
HLTH PARTNERS RES FDN	1	0.095
HLTH PSYCHOLOGIST MOTS CONSULTING	1	0.095
HLTH QUAL ONTARIO	1	0.095
HLTH SERV RES DEV CTR EXCELLENCE	1	0.095
HOBART WILLIAM SMITH COLL	1	0.095
HOCHIMINH CITY UNIVERSITY OF MEDICINE PHARMACY	1	0.095
HOKKAIDO UNIVERSITY	1	0.095
HOLBAEK HOSPITAL	1	0.095
HOMEBRIDGE INC	1	0.095
HOP SUD FRANCILIEN	1	0.095
HOPITAL UNIVERSITAIRE AVICENNE APHP	1	0.095
HOPITAL UNIVERSITAIRE HOTEL DIEU APHP	1	0.095
HOPITAL UNIVERSITAIRE JEAN VERDIER APHP	1	0.095
HOPITAL UNIVERSITAIRE LARIBOISIERE FERNAND WIDAL APHP	1	0.095
HOSP ALTA ESPECIALIDAD GUSTAVO A ROVIROSA PEREZ	1	0.095
HOSP CLIN VALENCIA	1	0.095
HOSP GEN YAJALON DR MANUEL VELASCO SUAREZ	1	0.095
HOSP RIVIERENLAND TIEL	1	0.095
HOSP STUTTGART	1	0.095
HOSP UNIV DR PESET	1	0.095
HOSP UNIV MATERNOINFANTIL CANARIAS	1	0.095
HOSP UNIV SAN IGNACIO	1	0.095
HOSPITAL CLINIC DE BARCELONA	1	0.095
HOSPITAL CLINICO SAN CARLOS	1	0.095
HOSPITAL FOR SICK CHILDREN SICKKIDS	1	0.095
HOSPITAL GENERAL DE MEXICO	1	0.095
HOSPITAL ITALIANO DE BUENOS AIRES	1	0.095
HOSPITAL OF LITHUANIAN UNIVERSITY OF HEALTH SCIENCES KAUNO KLINIKOS	1	0.095
HOSPITAL PRIVADO UNIVERSITARIO DE CORDOBA	1	0.095
HOSPITAL UNIVERSITARI VALL D HEBRON	1	0.095
HOSPITAL UNIVERSITARIO CRUCES	1	0.095
HOSPITAL UNIVERSITARIO DE GETAFE	1	0.095
HOSPITAL UNIVERSITARIO LA PAZ	1	0.095
HOSPITAL UNIVERSITARIO MUTUA TERRASSA	1	0.095
HOSPITAL UNIVERSITARIO VIRGEN DE LAS NIEVES	1	0.095
HOSPITAL UNIVERSITARIO VIRGEN MACARENA	1	0.095
HOSPITAL UNIVERSITY HOSPITAL G MARTINO	1	0.095
HOWARD UNIVERSITY	1	0.095
HUMAN SCI RES COUNCIL	1	0.095
HUNGARIAN ACADEMY OF SCIENCES	1	0.095
HUNGKUANG UNIVERSITY	1	0.095
HUNTER COLLEGE CUNY	1	0.095
HYOGO COLLEGE OF MEDICINE	1	0.095
I CHER INTERUNIV CTR HLTH ECON	1	0.095
I SHOU UNIVERSITY	1	0.095
I3 STATPROBE	1	0.095
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI	1	0.095
ICELANDIC HEART ASSOCIATION	1	0.095
IMS HLTH	1	0.095
INDIANA STATE UNIVERSITY	1	0.095
INDIANA UNIV HLTH ARNETT	1	0.095
INDIANA UNIVERSITY BLOOMINGTON	1	0.095
INDIANA UNIVERSITY OF PENNSYLVANIA	1	0.095
INGHAM INST APPL MED RES	1	0.095
INHA UNIVERSITY	1	0.095
INNER SOLUT SUCCESS LLC	1	0.095
INST CLIN RES EDUC MED	1	0.095
INST ENDOCRINOL METAB	1	0.095
INST ESTADUAL DIABET ENDOCRINOL	1	0.095
INST ESTADUAL DIABET ENDOCRINOL LUIZ CAPRIGLION	1	0.095
INST HUMAN BEHAV ALLIED SCI	1	0.095
INST NACL PSIQUIATRIA RAMON DE LA FUENTE MUNIZ	1	0.095
INST PSYCHOTRAUMA	1	0.095
INST SEGURIDAD SERV SOCIALES TRABAJADORES ESTAD	1	0.095
INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE INRA	1	0.095
INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN MEXICO	1	0.095
INSULET CORP	1	0.095
INT DIABET FEDERAT	1	0.095
INT EPIDEMIOL INST	1	0.095
INWMML	1	0.095
IPSWICH HOSPITAL	1	0.095
IPSWICH HOSPITAL NHS TRUST	1	0.095
IQVIA	1	0.095
IRCCS FATEBENEFRATELLI	1	0.095
IRCCS ISTITUTO AUXOLOGICO ITALIANO	1	0.095
IRCCS SAN RAFFAELE PISANA	1	0.095
ISALA	1	0.095
ISALA HOSP	1	0.095
ISFAHAN UNIVERSITY MEDICAL SCIENCE	1	0.095
ISRAEL DEF FORCES MED CORPS	1	0.095
ISRAEL MINIST HLTH	1	0.095
IST CLIN LIGURE ALTA SPECIALITA GVM CARE RES	1	0.095
ISTANBUL BAKIRKOY MENTAL HEALTH NEUROLOGY TRAINING RESEARCH HOSPITAL	1	0.095
ISTANBUL HAYDARPASA NUMUNE TRAINING RESEARCH HOSPITAL	1	0.095
ISTANBUL HAYDARPASA SULTAN ABDULHAMID TRAINING RESEARCH HOSPITAL	1	0.095
ISTANBUL KANUNI SULTAN SULEYMAN TRAINING RESEARCH HOSPITAL	1	0.095
ISTANBUL KARTAL DR LUTFI KIRDAR TRAINING RESEARCH HOSPITAL	1	0.095
ISTANBUL MEDIPOL UNIVERSITY	1	0.095
ISTANBUL OKMEYDANI TRAINING RESEARCH HOSPITAL	1	0.095
IZMIR UNIVERSITY	1	0.095
JAGIELLONIAN UNIVERSITY	1	0.095
JAPAN ANTITB ASSOC	1	0.095
JAWAHARLAL NEHRU UNIVERSITY	1	0.095
JESSE BROWN VA MEDICAL CENTER	1	0.095
JEWISH HEALTHCARE FDN	1	0.095
JIANGSU PROVINCIAL CENTER FOR DISEASE CONTROL PREVENTION	1	0.095
JINAN STOMATOL HOSP	1	0.095
JINING FIRST PEOPLES HOSP	1	0.095
JNANA SANJEEVINI MED CTR	1	0.095
JOHN PAUL 2 HOSP	1	0.095
JOHNS HOPKINS BLOOMBERG SCHOOL OF PUBLIC HEALTH	1	0.095
JOHNS HOPKINS MEDICINE	1	0.095
JORDAN MINIST HLTH	1	0.095
JORDAN UNIVERSITY OF SCIENCE TECHNOLOGY	1	0.095
JULIUS CTR HLTH SCI PRIMARY CARE	1	0.095
JUNTENDO UNIVERSITY	1	0.095
KALLIO PRIMARY HLTH CARE UNIT	1	0.095
KAMAKURA WOMEN S UNIVERSITY	1	0.095
KANAGAWA PHYS ASSOC	1	0.095
KANGWON NATIONAL UNIVERSITY	1	0.095
KANSAI ELECT POWER HOSP	1	0.095
KANSAI ELECT POWER MED RES INST	1	0.095
KANSAS CITY VA MED CTR	1	0.095
KANTAR HLTH	1	0.095
KANTONSSPITAL BASELLAND	1	0.095
KANTONSSPITAL ST GALLEN	1	0.095
KAO GEN HOSP	1	0.095
KAOHSIUNG VETERANS GENERAL HOSPITAL	1	0.095
KASIMPASA MILITARY HOSPITAL	1	0.095
KAWAMURA GAKUEN WOMANS UNI	1	0.095
KAWASAKI SAIWAI CLIN	1	0.095
KAWASAKI SAIWAI HOSP	1	0.095
KE OLA MAMO	1	0.095
KEIMYUNG UNIVERSITY	1	0.095
KENNEDY KRIEGER INSTITUTE	1	0.095
KENYATTA NATIONAL HOSPITAL	1	0.095
KETTERING PHYS NETWORK	1	0.095
KIMBERLY M BROOKS ASSOCIATES	1	0.095
KING ABDULAZIZ UNIVERSITY	1	0.095
KING SAUD UNIVERSITY	1	0.095
KOCAELI UNIVERSITY	1	0.095
KOCHI UNIVERSITY	1	0.095
KOKUA KALIHI VALLEY COMPREHENS FAMILY SERV	1	0.095
KOLLING INSTITUTE OF MEDICAL RESEARCH	1	0.095
KONYANG UNIVERSITY	1	0.095
KREMBIL RESEACH INSTITUTE	1	0.095
KULA NO NA POE HAWAII	1	0.095
KUOPIO UNIVERSITY HOSPITAL	1	0.095
KURASHIKI CENTRAL HOSPITAL	1	0.095
KYAMBOGO UNIV	1	0.095
KYUNG HEE UNIVERSITY	1	0.095
KYUNGSUNG UNIV	1	0.095
KYUSHU UNIVERSITY	1	0.095
LADY CILENTO CHILDRENS HOSP	1	0.095
LAGOS STATE UNIVERSITY	1	0.095
LAIKO GENERAL HOSPITAL	1	0.095
LANDSPITALI NATIONAL UNIVERSITY HOSPITAL	1	0.095
LANGERHANS MED RES GRP	1	0.095
LANGS COMMUNITY HLTH CTR	1	0.095
LANGUEDOC ROUSSILLON UNIVERSITES COMUE	1	0.095
LATIFA HOSP	1	0.095
LAURENTIUS HOSP	1	0.095
LAVAL UNIVERSITY	1	0.095
LCF RES	1	0.095
LEBANESE AMERICAN UNIVERSITY	1	0.095
LEICESTER GENERAL HOSPITAL	1	0.095
LEIDEN UNIVERSITY	1	0.095
LEXICON PHARMACEUTICALS	1	0.095
LILLY KOREA LTD	1	0.095
LINGNAN UNIVERSITY	1	0.095
LINNAEUS UNIVERSITY	1	0.095
LIVERPOOL HOPE UNIVERSITY	1	0.095
LIVERPOOL HOSPITAL	1	0.095
LIVERPOOL SCHOOL OF TROPICAL MEDICINE	1	0.095
LMC DIABET ENDOCRINOL	1	0.095
LONDON SCHOOL OF HYGIENE TROPICAL MEDICINE	1	0.095
LOS ANGELES COUNTY DEPARTMENT OF PUBLIC HEALTH	1	0.095
LOS ANGELES CTY DEPT HLTH SERV	1	0.095
LOUIS TURCANU EMERGENCY CHILDREN PERITONEAL DIALY	1	0.095
LOVELACE RESPIRATORY RESEARCH INSTITUTE	1	0.095
LOYOLA COLL MARYLAND	1	0.095
LOZANO BLESA UNIVERSITY CLINICAL HOSPITAL	1	0.095
LSMU	1	0.095
LUCIAN BLAGA UNIVERSITY OF SIBIU	1	0.095
LUXEMBOURG HOSPITAL CENTER	1	0.095
LUXEMBOURG INSTITUTE OF HEALTH	1	0.095
MADRID CITY COUNCIL	1	0.095
MAFRAQ HOSP	1	0.095
MAHIDOL UNIVERSITY	1	0.095
MAHSA UNIV	1	0.095
MANITOBA INST CHILD HLTH	1	0.095
MARMARA UNIVERSITY	1	0.095
MARSHALL UNIVERSITY	1	0.095
MARTINI HOSPITAL	1	0.095
MASAE MINAMI CLIN	1	0.095
MASSACHUSETTS COLL PHARM HLTH SCI	1	0.095
MASSACHUSETTS SYSTEM OF PUBLIC HIGHER EDUCATION	1	0.095
MATER HOSP	1	0.095
MATER RESEARCH	1	0.095
MATERNAL CHILD HLTH INFORMAT RESOURCE CTR	1	0.095
MAX PLANCK SOCIETY	1	0.095
MAYNOOTH UNIVERSITY	1	0.095
MCLEAN HOSPITAL	1	0.095
MEANWOOD GRP PRACTICE	1	0.095
MED UNIV WARSAW PORADNIA DIABETOLOGICZNA	1	0.095
MEDICAL UNIVERSITY OF LUBLIN	1	0.095
MEDICAL UNIVERSITY PLOVDIV	1	0.095
MEDICAL UNIVERSITY SILESIA	1	0.095
MEDSTAR DIABET INST	1	0.095
MEIHO INST TECHNOL	1	0.095
MENTAL HLTH ISSUES DIABET FDN	1	0.095
MENZIES INSTITUTE FOR MEDICAL RESEARCH	1	0.095
MENZIES SCHOOL OF HEALTH RESEARCH	1	0.095
METROPOLITAN UNIV COLL	1	0.095
MICHIGAN CTR DIABET TRANSLAT RES	1	0.095
MICHIGAN DIABET RES TRAINING CTR	1	0.095
MICHIGAN MED	1	0.095
MICHIGAN STATE UNIVERSITY	1	0.095
MINIST HLTH PREVENT	1	0.095
MISSISSIPPI DEPT HLTH	1	0.095
MISSOURI BREAKS RES INC	1	0.095
MORE ROMSDAL HOSP	1	0.095
MOSCOW REG CLIN RES INST	1	0.095
MUMFORD PROFESS CTR	1	0.095
MV HOSP DIABETES	1	0.095
NAGANO PREFECTURAL MENTAL WELLNESS CTR	1	0.095
NAGANO PREFECTURAL MENTAL WELLNESS CTR KOMAGANE	1	0.095
NAKAJIMA DIABET CLIN	1	0.095
NAKAKINEN CLIN	1	0.095
NAMWON MED CTR	1	0.095
NANTONG UNIVERSITY	1	0.095
NATIONAL CANCER CENTER JAPAN	1	0.095
NATIONAL CANCER CENTRE SINGAPORE NCCS	1	0.095
NATIONAL CHENG KUNG UNIVERSITY HOSPITAL	1	0.095
NATIONAL CHIAO TUNG UNIVERSITY	1	0.095
NATIONAL INSTITUTE OF CARDIOLOGY MEXICO	1	0.095
NATIONAL RESEARCH CENTRE FOR THE WORKING ENVIRONMENT	1	0.095
NATL CTR FARMER HLTH	1	0.095
NATL HLTH INSURANCE	1	0.095
NATL INST MED SCI NUTR SALVADOR ZUBIRIN	1	0.095
NATL INST MENTAL HLTH NIMH	1	0.095
NATL INST PUBL HLTH	1	0.095
NATL KIDNEY FDN SINGAPORE	1	0.095
NATL MED ACAD POSTGRAD EDUC	1	0.095
NATL RES DEV CTR WELF HLTH	1	0.095
NATL RES DEV CTR WELF HLTH STAKES	1	0.095
NATL UNIV	1	0.095
NATL UNIV LA PLATA	1	0.095
NATL UNIV POLYCLIN	1	0.095
NATL WOMENS HOSP	1	0.095
NE FLORIDA PEDIAT DIABET CTR	1	0.095
NEMOURS CHILDRENS CLIN	1	0.095
NENG CHUN DIABET CLIN	1	0.095
NESS ZIONA MENTAL HLTH CTR	1	0.095
NETHERLANDS CANCER INSTITUTE	1	0.095
NETHERLANDS COMPREHENS CANC ORG	1	0.095
